row_kind,id,source_file,source_sections,rule_type,initiator,responder,method,operation_kind,target,condition,accepted_status,preferred_emit,headers,body,effects,normative_strength,summary
rule,event.subscription.create.completed,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,"12.1.2,8.3",http_exchange,"""redfish_client""","""redfish_service""","""POST""","""create_subscription""","{""kind"":""collection"",""relation"":""ServiceRoot.EventService.Subscriptions""}","{""outcome"":""success"",""processingState"":""completed""}",exact:201,201,"{""Location"":{""presence"":""required"",""semantic"":""created_subscription_resource_uri""}}","{""presence"":""recommended"",""represents"":""created_subscription"",""schema"":""EventDestination""}","{""historicalEventsDelivered"":false,""resourceCreated"":true,""subscriptionState"":{""from"":""absent"",""to"":""active""}}",required,event-subscription-create-completed
rule,event.subscription.create.body-representation,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,12.1.2,payload_contract,,,,,,"{""ruleRef"":""event.subscription.create.completed""}",,,,"{""presence"":""recommended"",""represents"":""created_subscription"",""schema"":""EventDestination""}",,recommended,event-subscription-create-response-body
rule,event.subscription.create.accepted-async,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,"7.5.2,12.2",http_exchange,"""redfish_client""","""redfish_service""","""POST""","""create_subscription""","{""kind"":""collection"",""relation"":""ServiceRoot.EventService.Subscriptions""}","{""outcome"":""accepted"",""processingState"":""pending""}",exact:202,202,"{""Location"":{""presence"":""required"",""semantic"":""task_monitor_uri""},""Retry-After"":{""presence"":""optional""}}","{""ifPresent"":{""schema"":""Task""},""presence"":""recommended""}","{""subscriptionState"":{""from"":""absent"",""to"":""creating""}}",required,inherited-asynchronous-subscription-create
rule,event.subscription.create.unsupported-parameter,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,"12.1.2,8.3,8.6",http_exchange,"""redfish_client""","""redfish_service""","""POST""","""create_subscription""","{""kind"":""collection"",""relation"":""ServiceRoot.EventService.Subscriptions""}","{""requestBodyContainsUnsupportedParameter"":true}",exact:400,400,,"{""error"":{""codeFormat"":""MessageId"",""extendedInfo"":{""presence"":""recommended"",""property"":""@Message.ExtendedInfo""},""message"":""required"",""selectionPolicy"":""most_specific_registered_message""},""kind"":""redfish_error"",""presence"":""required""}","{""resourceCreated"":false,""subscriptionState"":{""unchanged"":true}}",required,unsupported-subscription-parameter
rule,event.subscription.create.conflicting-body,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,"12.1.2,8.3,8.6",http_exchange,"""redfish_client""","""redfish_service""","""POST""","""create_subscription""","{""kind"":""collection"",""relation"":""ServiceRoot.EventService.Subscriptions""}","{""requestBodyConflicting"":true,""requestBodyContainsUnsupportedParameter"":false}",derived:4xx,,,"{""kind"":""redfish_error"",""presence"":""required""}","{""resourceCreated"":false,""subscriptionState"":{""unchanged"":true}}",required,conflicting-subscription-request-body
rule,event.push.supported-for-event-capable-resources,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,12.1.2,capability,,,,,,"{""resource"":{""canSendEvents"":true}}",,,,,,required,push-eventing-supported-for-event-capable-resources
rule,event.push.requires-active-subscription,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,12.1.2,prohibition,"""redfish_service""","""event_receiver""","""POST""","""deliver_event""","{""relation"":""subscription.Destination""}","{""subscriptionState"":{""notIn"":[""active""]}}",,,,,,prohibited,no-push-without-subscription
rule,event.push.delivery-acknowledgement,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,12.1.2,http_exchange,"""redfish_service""","""event_receiver""","""POST""","""deliver_event""","{""relation"":""subscription.Destination""}","{""subscriptionState"":""active""}",class:2xx,204,,"{""200"":{""presence"":""optional""},""204"":{""presence"":""forbidden""}}",,required,event-receiver-success-acknowledgement
rule,event.push.payload-limit,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,12.1.2,payload_constraint,"""redfish_service""","""event_receiver""","""POST""","""deliver_event""",,"{""payload"":{""format"":""Event""}}",,,,,,prohibited,event-payload-size-limit
rule,event.push.metric-report-payload-exemption,contracts/dmtf/dsp0266/1.24.0/services/eventing.yaml,12.1.2,payload_constraint,,,,,,"{""payload"":{""format"":""MetricReport""}}",,,,,,defined_behavior,metric-report-payload-limit-exemption
